"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Ronald Acuna Jr.","ATL","82","360","24","72","52","17","13.6%","23.6%",".313",".311",".283",".394",".596",".412",".427","157","3.8","29.7","1.5","4.3","18401"
"Rafael Devers","BOS","156","664","38","101","113","5","9.3%","21.5%",".259",".307",".279",".352",".538",".373",".392","134","0.1","27.6","-7.5","4.3","17350"
"Justin Turner","LAD","151","612","27","87","87","3","10.0%","16.0%",".193",".292",".278",".361",".471",".358",".359","127","-1.0","19.8","2.3","4.3","5235"
"Francisco Lindor","NYM","125","524","20","73","63","10","11.1%","18.3%",".181",".248",".230",".322",".412",".317",".344","103","2.0","4.0","20.8","4.2","12916"
"Teoscar Hernandez","TOR","143","595","32","92","116","12","6.1%","24.9%",".227",".352",".296",".346",".524",".369",".367","132","2.3","25.5","-3.6","4.2","13066"
"Manny Machado","SDP","153","640","28","92","106","12","9.8%","15.9%",".211",".290",".278",".347",".489",".350",".380","122","-2.1","15.8","5.0","4.2","11493"
"Nolan Arenado","STL","157","653","34","81","105","2","7.7%","14.7%",".239",".249",".255",".312",".494",".336",".312","113","-0.4","10.7","9.0","4.2","9777"
"Enrique Hernandez","BOS","134","585","20","84","60","1","10.4%","18.8%",".199",".278",".250",".337",".449",".338",".347","110","3.0","10.2","10.9","4.1","10472"
"Byron Buxton","MIN","61","254","19","50","32","9","5.1%","24.4%",".340",".344",".306",".358",".647",".419",".405","169","4.4","25.9","6.3","4.1","14161"
"Yoan Moncada","CHW","144","616","14","74","61","3","13.6%","25.5%",".148",".350",".263",".375",".412",".347",".351","122","0.3","16.6","2.9","4.1","17232"
"Jorge Polanco","MIN","152","644","33","97","98","11","7.0%","18.3%",".235",".282",".269",".323",".503",".349",".347","122","3.1","20.5","-2.0","4.1","13152"
"Jake Cronenworth","SDP","152","643","21","94","71","4","8.6%","14.0%",".194",".283",".266",".340",".460",".341",".344","116","2.1","15.3","3.6","4.0","18036"
"Matt Chapman","OAK","151","622","27","75","72","3","12.9%","32.5%",".193",".272",".210",".314",".403",".311","","101","2.0","2.5","16.4","4.0","16505"
"Javier Baez","- - -","138","547","31","80","87","18","5.1%","33.6%",".229",".352",".265",".319",".494",".344","","116","3.0","14.1","6.8","3.9","12979"
"Randy Arozarena","TBR","141","604","20","94","69","20","9.3%","28.1%",".185",".363",".274",".356",".459",".350",".302","128","1.5","22.0","-4.1","3.9","19290"
"Ozzie Albies","ATL","156","686","30","103","106","20","6.9%","18.7%",".229",".278",".259",".310",".488",".336",".332","107","8.3","14.4","1.1","3.8","16556"
"Yordan Alvarez","HOU","144","598","33","92","104","1","8.4%","24.2%",".253",".320",".277",".346",".531",".369",".389","138","0.5","28.6","-10.9","3.8","19556"
"Jeimer Candelario","DET","149","626","16","75","67","0","10.4%","21.6%",".172",".333",".271",".351",".443",".344",".357","119","1.0","15.3","1.2","3.8","13621"
"Nick Castellanos","CIN","138","585","34","95","100","3","7.0%","20.7%",".267",".340",".309",".362",".576",".391",".374","140","-0.5","29.6","-11.7","3.7","11737"
"Joey Votto","CIN","129","533","36","73","99","1","14.4%","23.8%",".297",".287",".266",".375",".563",".391",".406","140","0.4","27.8","-8.9","3.7","4314"
"Yasmani Grandal","CHW","93","375","23","60","62","0","23.2%","21.9%",".280",".246",".240",".420",".520",".402",".414","159","-4.7","22.3","1.5","3.7","11368"
"Corey Seager","LAD","95","409","16","54","57","1","11.7%","16.1%",".215",".336",".306",".394",".521",".389",".393","147","-1.9","22.4","0.4","3.6","13624"
"Adam Frazier","- - -","155","639","5","83","43","10","7.5%","10.8%",".106",".339",".305",".368",".411",".341",".323","114","-0.1","11.2","3.3","3.6","15223"
"Mookie Betts","LAD","122","550","23","93","58","10","12.4%","15.6%",".223",".276",".264",".367",".487",".365",".356","131","-1.2","20.7","-4.0","3.5","13611"
"Brandon Belt","SFG","97","381","29","65","59","3","12.6%","27.0%",".323",".309",".274",".378",".597",".406","","158","-2.1","26.2","-4.6","3.4","10264"
"Myles Straw","- - -","158","638","4","86","48","30","10.5%","19.0%",".076",".336",".271",".349",".348",".311",".306","98","6.1","4.2","8.1","3.4","17620"
"Dansby Swanson","ATL","160","653","27","78","88","9","8.0%","25.6%",".201",".297",".248",".311",".449",".322",".331","98","3.4","2.0","10.2","3.4","18314"
"Adolis Garcia","TEX","149","622","31","77","90","16","5.1%","31.2%",".212",".306",".243",".286",".454",".314","","100","-1.4","-1.8","14.3","3.4","19287"
"Luis Robert","CHW","68","296","13","42","43","6","4.7%","20.6%",".229",".394",".338",".378",".567",".399",".375","157","1.4","21.9","1.5","3.4","20043"
"Salvador Perez","KCR","161","665","48","88","121","1","4.2%","25.6%",".271",".298",".273",".316",".544",".359",".372","127","-0.8","21.1","-10.3","3.4","7304"
"Pete Alonso","NYM","152","637","37","81","94","3","9.4%","19.9%",".257",".274",".262",".344",".519",".363",".376","133","-5.1","21.6","-9.4","3.3","19251"
"Jean Segura","PHI","131","567","14","76","58","9","6.9%","13.8%",".146",".317",".290",".348",".436",".338","","109","-1.2","5.4","8.8","3.3","5933"
"Harrison Bader","STL","103","401","16","45","50","9","6.7%","21.2%",".193",".306",".267",".324",".460",".331","","110","2.5","7.6","12.0","3.3","18030"
"Brandon Nimmo","NYM","92","386","8","51","28","5","14.0%","20.5%",".145",".366",".292",".401",".437",".369","","137","-0.9","17.3","2.6","3.3","12927"
"J.P. Crawford","SEA","160","687","9","89","54","3","8.4%","16.6%",".103",".320",".273",".338",".376",".314","","103","-2.7","-0.2","9.5","3.3","15491"
"Yuli Gurriel","HOU","143","605","15","83","81","1","9.8%","11.2%",".143",".336",".319",".383",".462",".363","","134","-1.6","23.6","-11.5","3.3","19198"
"Sean Murphy","OAK","119","448","17","47","59","0","8.9%","25.4%",".188",".257",".216",".306",".405",".309",".335","99","-1.2","-1.8","19.1","3.3","19352"
"Willy Adames","- - -","140","555","25","77","73","5","10.3%","28.1%",".219",".331",".262",".337",".481",".349","","119","0.2","13.8","-0.1","3.2","15986"
"Chris Taylor","LAD","148","582","20","92","73","13","10.8%","28.7%",".183",".337",".254",".344",".438",".338","","113","6.5","16.5","-4.3","3.2","13757"
"Whit Merrifield","KCR","162","720","10","97","74","40","5.6%","14.3%",".117",".309",".277",".317",".395",".306",".301","91","7.4","-0.3","7.0","3.1","11281"
"Ty France","SEA","152","650","18","85","73","0","7.1%","16.3%",".154",".327",".291",".368",".445",".353","","129","-2.7","20.6","-11.7","3.1","17982"
"Jonathan India","CIN","150","631","21","98","69","12","11.3%","22.3%",".190",".326",".269",".376",".459",".363",".355","122","-0.9","16.6","-6.6","3.1","21523"
"A.J. Pollock","LAD","117","422","21","53","69","9","7.1%","19.0%",".240",".326",".297",".355",".536",".375",".362","137","0.6","20.7","-4.1","3.1","9256"
"Jesse Winker","CIN","110","485","24","77","71","1","10.9%","15.5%",".251",".324",".305",".394",".556",".403",".389","148","-6.5","23.3","-9.0","3.1","13590"
"Kris Bryant","- - -","144","586","25","86","73","10","10.6%","23.0%",".216",".313",".265",".353",".481",".356",".346","123","5.4","22.5","-11.8","3.0","15429"
"Mark Canha","OAK","141","625","17","93","61","12","12.3%","20.5%",".156",".274",".231",".358",".387",".333","","115","2.0","13.6","-5.0","3.0","11445"
"Tony Kemp","OAK","131","397","8","54","37","8","13.1%","12.8%",".139",".304",".279",".382",".418",".351","","127","3.8","17.2","-0.9","3.0","14894"
"Joey Wendle","TBR","136","501","11","73","54","8","5.6%","22.6%",".157",".327",".265",".319",".422",".317","","106","-0.2","3.2","9.1","2.9","13853"
"Max Stassi","LAA","87","319","13","45","35","0","8.8%","31.7%",".184",".325",".241",".326",".426",".327","","107","-1.4","1.2","17.1","2.9","10059"
"Josh Donaldson","MIN","135","543","26","73","72","0","13.6%","21.0%",".228",".268",".247",".352",".475",".353",".387","124","-4.3","11.9","-1.4","2.9","5038"
"Darin Ruf","SFG","117","312","16","41","43","2","14.7%","27.9%",".248",".344",".271",".385",".519",".384",".380","144","-1.0","16.5","1.8","2.9","9929"
"J.D. Martinez","BOS","148","634","28","92","99","0","8.7%","23.7%",".232",".340",".286",".349",".518",".364",".374","128","-3.1","18.4","-11.4","2.9","6184"
"Trevor Story","COL","142","595","24","88","75","20","8.9%","23.4%",".221",".293",".251",".329",".471",".341",".333","100","6.4","6.1","2.2","2.8","12564"
"Kyle Schwarber","- - -","113","471","32","76","71","1","13.6%","27.0%",".288",".306",".266",".374",".554",".392",".399","145","-1.6","24.8","-12.9","2.8","16478"
"Omar Narvaez","MIL","123","445","11","54","49","0","9.2%","18.9%",".136",".308",".266",".342",".402",".322","","99","-2.5","-3.0","15.8","2.8","13338"
"Tommy Edman","STL","159","691","11","91","56","30","5.5%","13.7%",".125",".291",".262",".308",".387",".301",".315","91","8.0","-0.4","4.6","2.7","19470"
"Avisail Garcia","MIL","135","515","29","68","86","8","7.4%","23.5%",".228",".291",".262",".330",".490",".346",".366","115","-0.5","9.0","0.8","2.7","5760"
"Jose Abreu","CHW","152","659","30","86","117","1","9.3%","21.7%",".219",".293",".261",".351",".481",".354",".348","126","-4.5","16.6","-12.2","2.7","15676"
"Kyle Seager","SEA","159","670","35","73","101","3","8.8%","24.0%",".226",".226",".212",".285",".438",".308",".320","99","-1.9","-3.0","6.6","2.6","9785"
"Dylan Carlson","STL","149","619","18","79","65","2","9.2%","24.6%",".172",".332",".266",".343",".437",".336","","113","0.1","10.6","-5.2","2.6","20126"
"Adam Duvall","- - -","146","555","38","67","113","5","6.3%","31.4%",".263",".260",".228",".281",".491",".324",".329","103","-2.4","0.0","7.5","2.6","10950"
"Kevin Kiermaier","TBR","122","390","4","54","37","9","8.5%","25.4%",".129",".345",".259",".328",".388",".310",".283","101","2.2","2.7","9.8","2.6","11038"
"Jacob Stallings","PIT","112","427","8","38","53","0","11.5%","19.9%",".123",".297",".246",".335",".369",".312","","95","-1.9","-4.8","16.4","2.6","13723"
"Mike Yastrzemski","SFG","139","532","25","75","71","4","9.6%","24.6%",".233",".254",".224",".311",".457",".326","","106","3.9","8.0","-0.3","2.5","14854"
"Ryan McMahon","COL","151","596","23","80","86","6","9.9%","24.7%",".195",".306",".254",".331",".449",".334","","95","-1.6","-5.4","10.7","2.5","15112"
"Eduardo Escobar","- - -","146","599","28","77","90","1","8.0%","20.7%",".219",".279",".253",".314",".472",".334",".326","107","0.4","5.3","-0.2","2.5","6153"
"Jonathan Villar","NYM","142","505","18","63","42","14","9.1%","26.1%",".167",".313",".249",".322",".416",".320","","105","3.6","6.8","1.4","2.5","10071"
"Mitch Haniger","SEA","157","691","39","110","100","1","7.8%","24.5%",".232",".281",".253",".318",".485",".340",".353","120","-1.4","15.9","-14.6","2.5","14274"
"George Springer","TOR","78","342","22","59","50","4","10.8%","23.1%",".291",".286",".264",".352",".555",".381","","140","-1.2","15.6","-2.9","2.4","12856"
"Manuel Margot","TBR","125","464","10","55","57","13","8.0%","15.1%",".128",".281",".254",".313",".382",".301",".318","95","1.6","-1.3","9.7","2.4","14712"
"Jared Walsh","LAA","144","585","29","70","98","2","8.2%","26.0%",".232",".335",".277",".340",".509",".357","","127","-1.1","18.4","-14.2","2.4","18607"
"Giancarlo Stanton","NYY","139","579","35","64","97","0","10.9%","27.1%",".243",".324",".273",".354",".516",".370",".358","137","-7.0","18.9","-14.6","2.4","4949"
"Kolten Wong","MIL","116","492","14","70","50","12","6.3%","16.9%",".175",".305",".272",".335",".447",".337","","109","1.4","6.8","0.9","2.4","12532"
"Amed Rosario","CLE","141","588","11","77","57","13","5.3%","20.4%",".127",".340",".282",".321",".409",".315",".298","99","1.2","0.6","3.4","2.4","15518"
"Wander Franco","TBR","70","308","7","53","39","2","7.8%","12.0%",".174",".311",".288",".347",".463",".348",".334","126","3.1","13.1","0.2","2.4","23667"
"Robbie Grossman","DET","156","671","23","88","67","20","14.6%","23.1%",".176",".286",".239",".357",".415",".337","","114","2.0","13.5","-12.7","2.4","5254"
"C.J. Cron","COL","142","547","28","70","92","1","11.0%","21.4%",".249",".316",".281",".375",".530",".383",".362","127","-3.2","15.6","-10.4","2.3","12546"
"Chas McCormick","HOU","108","320","14","47","50","4","7.8%","32.5%",".190",".341",".257",".319",".447",".327","","109","-0.4","3.2","8.6","2.3","19599"
"Brett Phillips","TBR","119","292","13","50","44","14","11.3%","38.7%",".221",".302",".206",".300",".427",".313",".284","103","3.5","4.5","8.3","2.3","14735"
"Michael Brantley","HOU","121","508","8","68","47","1","6.5%","10.4%",".126",".337",".311",".362",".437",".347",".362","123","-1.2","13.0","-7.6","2.3","4106"
"Ketel Marte","ARI","90","374","14","52","50","2","8.3%","16.0%",".215",".352",".318",".377",".532",".385",".371","139","-0.4","18.2","-8.0","2.3","13613"
"Miguel Rojas","MIA","132","539","9","66","48","13","6.9%","13.7%",".127",".295",".265",".322",".392",".311","","97","1.5","-0.3","4.7","2.2","7802"
"Daulton Varsho","ARI","95","315","11","41","38","6","9.5%","21.3%",".190",".286",".246",".318",".437",".322",".324","98","5.0","4.3","7.5","2.2","19918"
"Josh Harrison","- - -","138","558","8","58","60","9","5.6%","13.4%",".121",".313",".279",".341",".400",".325",".332","103","-0.5","1.9","1.6","2.2","8202"
"Austin Hays","BAL","131","529","22","73","71","4","5.3%","20.2%",".205",".286",".256",".308",".461",".328","","106","-0.3","3.8","0.4","2.2","19363"
"Mike Trout","LAA","36","146","8","23","18","2","18.5%","28.1%",".291",".456",".333",".466",".624",".451",".423","190","1.5","17.7","-0.6","2.2","10155"
"Trent Grisham","SDP","132","527","15","61","62","13","10.2%","22.6%",".171",".292",".242",".327",".413",".320","","103","2.0","3.9","0.5","2.2","18564"
"Patrick Wisdom","CHC","106","375","28","54","61","4","8.5%","40.8%",".287",".318",".231",".305",".518",".346","","115","-0.6","6.6","2.9","2.2","13602"
"Max Kepler","MIN","121","490","19","61","54","10","11.0%","19.6%",".202",".225",".211",".306",".413",".309",".347","95","5.0","2.0","3.2","2.2","12144"
"Alex Bregman","HOU","91","400","12","54","55","1","11.0%","13.3%",".152",".286",".270",".355",".422",".336",".335","115","-2.2","5.4","2.8","2.2","17678"
"Mitch Garver","MIN","68","243","13","29","34","1","12.8%","29.2%",".261",".320",".256",".358",".517",".372",".385","137","-0.1","10.9","2.3","2.2","15161"
"Willson Contreras","CHC","128","483","21","61","57","5","10.8%","28.6%",".201",".298",".237",".340",".438",".337",".346","109","-3.7","1.8","3.5","2.1","11609"
"Hunter Renfroe","BOS","144","572","31","89","96","1","7.7%","22.7%",".242",".284",".259",".315",".501",".344",".353","114","-2.6","7.3","-6.0","2.1","15464"
"Anthony Rizzo","- - -","141","576","22","73","61","6","9.0%","15.1%",".192",".258",".248",".344",".440",".339",".346","112","-1.8","6.9","-5.8","2.1","3473"
"Luis Urias","MIL","150","570","23","77","75","5","11.1%","20.4%",".196",".280",".249",".345",".445",".340","","111","-0.7","7.3","-5.9","2.0","16622"
"Ke'Bryan Hayes","PIT","96","396","6","49","38","9","7.8%","22.0%",".116",".321",".257",".316",".373",".301",".299","88","0.9","-5.2","12.3","2.0","18577"
"Jazz Chisholm Jr.","MIA","124","507","18","70","53","23","6.7%","28.6%",".177",".319",".248",".303",".425",".312","","98","3.3","2.1","1.2","2.0","20454"
"Alex Verdugo","BOS","146","604","13","88","63","6","8.4%","15.9%",".138",".327",".289",".351",".426",".334",".342","107","2.0","7.4","-7.8","2.0","17027"
"Wil Myers","SDP","146","500","17","56","63","8","10.8%","28.2%",".179",".333",".256",".334",".434",".330","","109","0.5","6.5","-3.1","2.0","10047"
"Jonathan Schoop","DET","156","674","22","85","84","2","5.5%","19.7%",".157",".317",".278",".320",".435",".324","","105","-2.1","2.0","-5.2","2.0","11265"
"Michael A. Taylor","KCR","142","528","12","58","54","14","6.3%","27.3%",".112",".319",".244",".297",".356",".286",".299","77","0.3","-14.4","16.1","2.0","11489"
"DJ LeMahieu","NYY","150","679","10","84","57","4","10.8%","13.8%",".094",".301",".268",".349",".362",".315",".339","100","-1.7","-1.9","-1.6","2.0","9874"
"Rhys Hoskins","PHI","107","443","27","64","71","3","10.6%","24.4%",".283",".270",".247",".334",".530",".364",".377","127","-1.5","13.6","-8.7","2.0","16472"
"Nelson Cruz","- - -","140","584","32","79","86","3","8.7%","21.6%",".232",".286",".265",".334",".497",".346",".358","122","-1.9","14.0","-14.3","2.0","2434"
"Tyler Stephenson","CIN","132","402","10","56","45","0","10.2%","18.7%",".146",".333",".286",".366",".431",".346","","111","-2.1","3.5","2.6","2.0","17988"
"Kyle Farmer","CIN","147","529","16","60","63","2","4.2%","18.3%",".153",".296",".263",".316",".416",".316",".301","91","-1.5","-7.2","9.1","1.9","14813"
"Santiago Espinal","TOR","92","246","2","32","17","6","8.9%","12.2%",".095",".353",".311",".376",".405",".344","","115","2.3","6.8","3.9","1.9","19997"
"Yandy Diaz","TBR","134","541","13","62","64","1","12.8%","15.7%",".131",".286",".256",".353",".387",".325",".332","111","-2.2","5.0","-4.7","1.9","16578"
"Frank Schwindel","- - -","64","259","14","44","43","2","6.2%","15.8%",".264",".348",".326",".371",".591",".403","","152","-0.9","16.4","-6.4","1.9","15351"
"Josh Bell","WSN","144","568","27","75","88","0","11.4%","17.8%",".215",".276",".261",".347",".476",".352",".366","118","-6.0","7.1","-7.4","1.9","13145"
"Josh Rojas","ARI","139","550","11","69","44","9","10.5%","24.9%",".147",".345",".264",".341",".411",".327","","102","4.6","5.9","-5.7","1.8","19734"
"Edmundo Sosa","STL","113","326","6","39","27","4","5.2%","19.3%",".118",".326",".271",".346",".389",".322",".323","104","-1.0","0.8","6.6","1.8","17022"
"Andrew Benintendi","KCR","134","538","17","63","73","8","6.7%","18.0%",".166",".309",".276",".324",".442",".328",".332","106","-0.1","3.8","-4.0","1.8","17901"
"Steven Duggar","SFG","107","297","8","45","35","7","9.1%","29.6%",".179",".355",".257",".330",".437",".327","","107","3.7","6.3","1.9","1.8","17719"
"Leury Garcia","CHW","126","474","5","60","54","6","8.6%","20.5%",".108",".333",".267",".335",".376",".312",".291","98","3.4","2.3","-0.4","1.8","5913"
"Akil Baddoo","DET","124","461","13","60","55","18","9.8%","26.5%",".177",".335",".259",".330",".436",".329","","108","3.9","8.5","-6.5","1.8","22168"
"Isiah Kiner-Falefa","TEX","158","677","8","74","53","20","4.1%","13.3%",".087",".304",".271",".312",".357",".293",".291","85","4.2","-8.3","2.7","1.8","16512"
"Evan Longoria","SFG","81","291","13","45","46","1","12.0%","23.4%",".221",".305",".261",".351",".482",".352",".352","123","-1.8","6.7","1.1","1.8","9368"
"Jose Iglesias","- - -","137","511","9","65","48","5","4.1%","14.7%",".120",".305",".271",".309",".391",".304",".296","91","-0.2","-6.1","6.2","1.8","10231"
"Ramon Laureano","OAK","88","378","14","43","39","12","7.1%","25.9%",".196",".304",".246",".317",".443",".327","","111","0.1","5.4","-0.8","1.7","17128"
"Nathaniel Lowe","TEX","157","642","18","75","72","8","12.5%","25.2%",".151",".339",".264",".357",".415",".337","","115","-2.2","9.5","-14.0","1.7","19566"
"Carson Kelly","ARI","98","359","13","41","46","0","12.3%","20.6%",".171",".270",".240",".343",".411",".328",".343","103","-1.0","0.1","5.2","1.7","13620"
"Lourdes Gurriel Jr.","TOR","141","541","21","62","84","1","5.9%","18.9%",".190",".305",".276",".319",".466",".333",".336","107","-2.0","3.0","-4.3","1.7","19238"
"Andrew McCutchen","PHI","144","574","27","78","80","6","14.1%","23.0%",".222",".242",".222",".334",".444",".335",".344","107","1.5","6.8","-9.2","1.7","9847"
"Austin Meadows","TBR","142","591","27","79","106","4","10.0%","20.6%",".224",".249",".234",".315",".458",".327",".326","113","-1.7","7.5","-11.0","1.7","15672"
"Cesar Hernandez","- - -","149","637","21","84","62","1","9.3%","21.2%",".154",".266",".232",".308",".386",".302",".310","90","0.8","-6.8","1.5","1.6","10556"
"LaMonte Wade Jr.","SFG","109","381","18","52","56","6","8.7%","23.4%",".229",".289",".253",".326",".482",".343",".347","117","-0.9","7.4","-3.8","1.6","18126"
"Elias Diaz","COL","106","371","18","52","44","0","8.1%","16.2%",".219",".249",".246",".310",".464",".330",".317","92","-4.4","-8.0","11.7","1.6","11680"
"Yan Gomes","- - -","103","375","14","49","52","0","5.1%","20.8%",".169",".287",".252",".301",".421",".308",".341","93","-0.9","-4.2","7.3","1.6","9627"
"Wilmer Flores","SFG","139","436","18","57","53","1","9.4%","12.8%",".185",".264",".262",".335",".447",".337","","113","-4.0","3.4","-2.2","1.6","5827"
"Austin Slater","SFG","129","306","12","39","32","15","9.2%","27.5%",".182",".303",".241",".320",".423",".321",".335","103","2.4","3.4","2.0","1.6","16153"
"Luis Arraez","MIN","121","479","2","58","42","2","9.0%","10.0%",".082",".323",".294",".357",".376",".321",".336","103","0.7","2.4","-3.3","1.5","18568"
"David Peralta","ARI","150","538","8","57","63","2","8.6%","17.1%",".144",".303",".259",".325",".402",".314","","93","2.0","-2.5","0.0","1.5","2136"
"Manny Pina","MIL","75","208","13","27","33","0","10.6%","18.3%",".250",".162",".189",".293",".439",".315",".329","95","-0.2","-1.7","9.8","1.5","2829"
"Lorenzo Cain","MIL","78","286","8","40","36","13","9.1%","16.8%",".144",".287",".257",".329",".401",".319",".317","97","4.0","2.9","2.5","1.5","9077"
"Adam Engel","CHW","39","140","7","21","18","7","7.9%","22.1%",".244",".279",".252",".336",".496",".354",".343","127","1.0","5.5","4.5","1.5","15082"
"Elvis Andrus","OAK","146","541","3","60","37","12","5.7%","15.0%",".076",".283",".243",".294",".320",".270",".307","72","4.5","-13.8","10.2","1.5","8709"
"Alcides Escobar","WSN","75","349","4","53","28","3","4.9%","16.0%",".116",".337",".288",".340",".404",".325","","100","2.4","2.6","0.5","1.5","6310"
"Gary Sanchez","NYY","117","440","23","54","54","0","11.8%","27.5%",".219",".230",".204",".307",".423",".314",".336","99","-3.5","-3.9","3.5","1.5","11442"
"Jesus Aguilar","MIA","131","510","22","49","93","0","9.0%","18.2%",".198",".279",".261",".329",".459",".334",".330","112","-3.4","4.4","-7.0","1.4","11342"
"Rafael Ortega","CHC","103","330","11","44","33","12","9.1%","21.2%",".172",".349",".291",".360",".463",".355","","120","0.3","8.8","-5.5","1.4","10323"
"Christian Yelich","MIL","117","475","9","70","51","9","14.7%","23.8%",".125",".321",".248",".362",".373",".325",".338","101","1.8","2.2","-3.7","1.4","11477"
