"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jose Altuve","HOU","23","101","7","16","12","2","10.9%","17.8%",".258",".250",".258",".347",".517",".379",".380","158","-1.0","5.4","1.7","1.1","5417"
"George Springer","TOR","35","144","7","21","21","2","6.9%","23.6%",".236",".303",".268",".329",".504",".361",".333","139","1.5","7.5","-2.2","1.1","12856"
"Josh Donaldson","NYY","33","139","5","15","14","0","13.7%","24.5%",".195",".304",".246",".360",".441",".358",".382","142","-1.6","4.7","0.7","1.1","5038"
"Tyler Stephenson","CIN","24","82","4","13","20","1","7.3%","26.8%",".233",".417",".329",".390",".562",".414",".319","163","0.2","6.3","0.9","1.1","17988"
"Myles Straw","CLE","34","150","0","23","6","8","14.0%","17.3%",".071",".301",".244",".347",".315",".305",".291","103","2.4","2.8","2.1","1.0","17620"
"Owen Miller","CLE","28","112","4","22","15","0","9.8%","20.5%",".235",".338",".296",".357",".531",".382",".337","157","0.2","7.2","-1.2","1.0","24655"
"Francisco Lindor","NYM","38","168","6","21","22","4","10.1%","19.0%",".166",".245",".228",".315",".393",".314",".337","109","0.3","2.0","2.0","1.0","12916"
"Ha-seong Kim","SDP","30","113","4","18","16","1","12.4%","19.5%",".206",".239",".216",".327",".423",".336",".370","120","0.2","2.9","2.9","1.0","27506"
"Ryan McMahon","COL","35","145","4","19","20","0","10.3%","28.3%",".173",".366",".268",".359",".441",".357",".363","117","0.5","3.4","1.3","1.0","15112"
"Jonah Heim","TEX","22","75","4","15","12","0","13.3%","10.7%",".246",".264",".277",".373",".523",".393",".364","167","-0.5","5.0","2.0","1.0","16930"
"Jean Segura","PHI","30","124","6","19","14","5","7.3%","16.1%",".184",".330",".307",".363",".491",".377",".372","143","0.9","7.1","-1.8","1.0","5933"
"Eugenio Suarez","SEA","36","150","7","19","19","0","12.0%","32.0%",".231",".267",".208",".313",".438",".334",".351","129","-0.5","4.1","0.3","1.0","12552"
"Trevor Larnach","MIN","22","74","0","12","7","0","8.1%","31.1%",".134",".467",".313",".365",".448",".357",".327","140","0.7","3.9","2.8","1.0","21501"
"Max Kepler","MIN","35","133","5","12","15","1","11.3%","16.5%",".175",".273",".254",".353",".430",".350",".411","135","-1.6","3.4","1.3","1.0","12144"
"Josh Naylor","CLE","20","77","5","10","22","0","3.9%","13.0%",".264",".345",".347",".377",".611",".427",".410","190","-1.5","6.0","0.5","1.0","18839"
"Brandon Crawford","SFG","34","139","3","19","15","1","9.4%","20.1%",".130",".261",".220",".309",".350",".297",".291","94","0.7","-0.2","4.6","1.0","5343"
"Jurickson Profar","SDP","35","147","5","20","17","2","15.0%","17.0%",".203",".191",".187",".313",".390",".317",".344","108","0.1","1.4","2.7","1.0","10815"
"Trea Turner","LAD","36","156","2","18","28","6","9.0%","18.6%",".122",".336",".281",".346",".403",".333",".353","118","1.5","4.7","-1.0","0.9","16252"
"Ian Happ","CHC","33","130","2","18","16","2","16.2%","21.5%",".103",".359",".280",".400",".383",".355",".338","128","0.1","4.3","0.2","0.9","17919"
"Yandy Diaz","TBR","31","127","3","16","9","0","16.5%","9.4%",".115",".281",".269",".402",".385",".361",".361","149","-1.8","4.8","-0.4","0.9","16578"
"Michael Brantley","HOU","32","141","3","15","15","0","9.2%","11.3%",".143",".308",".286",".357",".429",".348",".400","136","-0.5","5.0","-1.2","0.9","4106"
"Brandon Marsh","LAA","33","124","4","16","22","3","6.5%","32.3%",".145",".391",".282",".333",".427",".335",".311","124","-0.2","3.0","1.3","0.9","20202"
"Anthony Rendon","LAA","35","148","5","14","21","2","12.8%","19.6%",".175",".255",".230",".331",".405",".329",".364","120","-0.4","2.7","0.7","0.9","12861"
"Jorge Mateo","BAL","33","119","2","12","8","10","4.2%","27.7%",".134",".325",".241",".280",".375",".290",".335","91","1.7","0.5","3.7","0.9","17273"
"Eli White","TEX","26","56","1","10","5","8","14.3%","33.9%",".104",".393",".250",".357",".354",".326",".280","119","3.3","4.5","1.8","0.9","19346"
"Cedric Mullins II","BAL","37","165","5","19","15","7","5.5%","20.0%",".167",".295",".253",".317",".420",".328",".325","118","1.4","4.6","-1.9","0.9","17929"
"Sean Murphy","OAK","37","149","4","17","20","0","8.1%","26.2%",".182",".231",".189",".268",".371",".285",".327","93","-0.3","-1.5","4.6","0.8","19352"
"Josh Bell","WSN","37","155","4","23","22","0","12.3%","11.0%",".145",".351",".328",".418",".473",".395",".381","154","-4.6","5.2","-2.4","0.8","13145"
"Vladimir Guerrero Jr.","TOR","36","151","7","17","20","0","9.9%","18.5%",".191",".306",".282",".364",".473",".365",".384","142","-1.8","5.0","-2.0","0.8","19611"
"Nico Hoerner","CHC","29","99","2","6","11","2","2.0%","14.1%",".125",".300",".271",".293",".396",".304",".330","95","0.4","-0.2","4.8","0.8","21479"
"DJ LeMahieu","NYY","34","142","2","20","12","1","9.2%","15.5%",".119",".304",".262",".345",".381",".328",".355","120","-0.5","2.6","0.7","0.8","9874"
"Travis d'Arnaud","ATL","25","100","3","13","15","0","1.0%","26.0%",".156",".328",".260",".290",".417",".312",".318","99","-0.9","-1.0","5.5","0.8","7739"
"Sheldon Neuse","OAK","34","133","2","14","14","4","7.5%","27.1%",".107",".386",".281",".346",".388",".330",".313","125","0.9","4.4","-1.0","0.8","19635"
"Jorge Polanco","MIN","36","154","4","13","21","1","13.0%","24.0%",".150",".290",".233",".331",".383",".322",".380","115","-0.3","2.2","0.6","0.8","13152"
"Jon Berti","MIA","17","50","2","10","4","2","18.0%","22.0%",".250",".370",".300",".440",".550",".433",".433","185","0.5","5.4","0.6","0.8","12037"
"Austin Hays","BAL","32","136","3","12","12","0","8.8%","16.2%",".149",".320",".281",".353",".430",".348",".344","132","0.5","5.2","-2.0","0.8","19363"
"Adam Frazier","SEA","36","156","1","18","14","1","9.0%","12.2%",".099",".298",".262",".333",".362",".311",".325","112","0.6","2.7","-0.2","0.8","15223"
"Omar Narvaez","MIL","23","87","2","7","8","0","10.3%","24.1%",".147",".327",".253",".356",".400",".338",".316","117","0.0","1.8","2.8","0.8","13338"
"Julio Rodriguez","SEA","36","144","2","14","13","11","7.6%","31.3%",".098",".388",".265",".326",".364",".308",".300","110","-0.1","1.5","1.3","0.8","23697"
"Jace Peterson","MIL","29","85","3","14","9","5","11.8%","25.9%",".160",".280",".227",".318",".387",".317",".322","103","1.7","2.1","2.6","0.8","12325"
"Gavin Lux","LAD","31","111","1","20","10","2","11.7%","18.9%",".093",".316",".258",".342",".351",".314",".348","105","1.7","2.4","1.4","0.8","19955"
"Christian Yelich","MIL","36","153","5","24","20","4","12.4%","23.5%",".192",".286",".238",".340",".431",".342",".397","120","2.0","5.5","-3.4","0.8","11477"
"Tommy Pham","CIN","34","143","4","21","12","3","15.4%","22.4%",".140",".294",".240",".357",".380",".336",".398","112","1.9","3.8","-1.5","0.8","2967"
"Mike Yastrzemski","SFG","27","105","3","15","12","0","11.4%","17.1%",".157",".314",".281",".371",".438",".359",".384","136","-0.7","3.6","-0.1","0.8","14854"
"Austin Slater","SFG","30","70","2","11","10","2","21.4%","24.3%",".164",".333",".255",".414",".418",".378",".393","148","1.1","5.0","-0.3","0.7","16153"
"Eduardo Escobar","NYM","35","149","2","16","8","0","13.4%","24.2%",".147",".286",".217",".322",".364",".311",".300","107","1.9","3.0","-1.0","0.7","6153"
"Pete Alonso","NYM","38","163","8","21","29","0","8.0%","23.3%",".208",".290",".257",".331",".465",".346",".379","130","-0.6","5.1","-3.5","0.7","19251"
"Anthony Rizzo","NYY","35","151","10","21","24","3","10.6%","15.9%",".295",".200",".225",".338",".519",".372",".391","151","-1.5","6.9","-5.0","0.7","3473"
"Brendan Donovan","STL","18","41","1","9","5","1","22.0%","17.1%",".226",".391",".323",".488",".548",".456",".378","200","0.1","4.8","0.6","0.7","24679"
"Hunter Renfroe","MIL","34","137","9","18","15","0","5.1%","27.0%",".256",".262",".240",".277",".496",".336",".321","115","-1.2","1.3","0.9","0.7","15464"
"Keibert Ruiz","WSN","29","117","1","10","10","1","6.0%","10.3%",".084",".284",".262",".316",".346",".298",".358","90","0.5","-0.8","3.7","0.7","19610"
"Adolis Garcia","TEX","34","142","6","23","24","4","6.3%","29.6%",".217",".265",".217",".275",".434",".307",".347","105","2.1","2.9","-0.8","0.7","19287"
"Brandon Drury","CIN","31","122","7","19","22","0","9.8%","23.8%",".271",".264",".243",".328",".514",".367",".360","132","-1.6","3.0","-0.4","0.7","11615"
"Yonathan Daza","COL","26","76","0","9","7","0","6.6%","7.9%",".059",".413",".382",".434",".441",".390",".420","140","-1.0","2.5","1.6","0.7","15794"
"Brett Phillips","TBR","26","76","4","7","9","3","6.6%","39.5%",".191",".257",".191",".253",".382",".282",".286","92","0.9","0.2","3.9","0.7","14735"
"Mark Canha","NYM","28","107","3","12","13","0","8.4%","21.5%",".106",".348",".287",".364",".394",".342",".316","127","-0.8","2.6","0.4","0.7","11445"
"Brian Anderson","MIA","25","94","2","18","4","1","13.8%","28.7%",".165",".360",".253",".372",".418",".353",".384","132","1.3","4.8","-1.5","0.7","18289"
"Nick Castellanos","PHI","35","147","5","18","21","2","7.5%","23.1%",".180",".347",".286",".347",".466",".358",".362","130","0.8","6.0","-4.4","0.7","11737"
"J.T. Realmuto","PHI","31","129","2","19","7","3","8.5%","24.0%",".102",".306",".237",".302",".339",".290",".308","85","1.4","-0.8","3.0","0.7","11739"
"Jose Siri","HOU","25","77","2","10","6","1","6.5%","32.5%",".155",".318",".225",".286",".380",".297",".333","100","1.1","1.0","2.8","0.7","17452"
"Johan Camargo","PHI","28","91","3","6","11","0","6.6%","17.6%",".141",".273",".247",".297",".388",".305",".305","95","0.6","0.1","3.0","0.7","14950"
"Roberto Perez","PIT","21","69","2","8","8","0","13.0%","36.2%",".133",".364",".233",".333",".367",".319",".325","106","-0.3","0.2","3.7","0.7","2900"
"Matt Olson","ATL","37","164","4","16","15","0","15.9%","20.7%",".190",".300",".248",".366",".438",".356",".382","128","-3.1","2.2","-1.5","0.7","14344"
"Will Smith","LAD","26","101","3","15","17","0","12.9%","15.8%",".149",".279",".253",".356",".402",".343",".394","124","-0.1","2.7","0.0","0.6","19197"
"Andrew Benintendi","KCR","35","141","2","12","16","0","9.2%","14.9%",".096",".346",".304",".369",".400",".343",".320","128","-1.2","3.2","-1.7","0.6","17901"
"Seiya Suzuki","CHC","33","129","4","15","18","1","13.2%","30.2%",".209",".353",".255",".357",".464",".357",".343","129","-1.1","3.3","-1.7","0.6","30116"
"Gilberto Celestino","MIN","24","62","0","8","1","0","4.8%","25.8%",".071",".450",".321",".377",".393",".347",".269","133","-0.4","1.8","2.0","0.6","20233"
"Harrison Bader","STL","35","128","3","18","10","9","7.0%","15.6%",".112",".245",".224",".289",".336",".283",".298","86","2.7","0.6","1.1","0.6","18030"
"Kolten Wong","MIL","34","135","3","20","12","8","9.6%","19.3%",".162",".286",".248",".326",".410",".325",".267","108","2.7","4.0","-2.6","0.6","12532"
"Gleyber Torres","NYY","33","119","5","9","18","0","5.9%","15.1%",".194",".253",".250",".297",".444",".323",".398","117","-0.8","1.4","0.6","0.6","16997"
"Austin Barnes","LAD","15","50","3","9","8","0","10.0%","16.0%",".250",".242",".250",".340",".500",".370",".356","142","-0.3","2.1","1.9","0.6","12158"
"Matt Chapman","TOR","37","143","6","13","16","0","10.5%","26.6%",".183",".205",".183",".273",".365",".287",".355","86","1.1","-1.0","2.0","0.6","16505"
"Alec Bohm","PHI","34","126","2","17","15","1","6.3%","15.9%",".116",".347",".313",".349",".429",".339",".386","117","0.8","3.3","-2.0","0.6","21618"
"Shohei Ohtani","LAA","38","166","8","27","27","5","7.8%","22.9%",".209",".290",".255",".313",".464",".336",".367","125","-0.3","4.1","-4.0","0.6","19755"
"Ronald Acuna Jr.","ATL","11","51","2","5","5","6","15.7%","35.3%",".190",".455",".286",".412",".476",".397",".431","155","1.3","4.6","-0.8","0.6","18401"
"Chris Taylor","LAD","33","132","3","16","15","3","11.4%","34.8%",".167",".388",".254",".341",".421",".335",".312","119","-0.2","2.7","-1.7","0.6","13757"
"Trey Mancini","BAL","34","143","3","12","13","0","7.7%","19.6%",".109",".343",".289",".350",".398",".334",".394","122","-0.4","2.9","-2.3","0.6","15149"
"Alek Thomas","ARI","10","32","2","6","4","0","3.1%","15.6%",".290",".333",".323",".344",".613",".414",".385","167","0.6","3.1","1.1","0.6","23792"
"Cody Bellinger","LAD","35","142","5","16","14","3","8.5%","32.4%",".209",".256",".194",".268",".403",".297",".314","94","0.3","-0.7","1.2","0.6","15998"
"Ozzie Albies","ATL","37","161","6","18","15","3","6.8%","16.1%",".172",".233",".228",".286",".400",".302",".323","92","1.0","-0.4","0.3","0.5","16556"
"Steven Kwan","CLE","28","119","1","19","13","1","12.6%","8.4%",".110",".286",".270",".370",".380",".338",".324","127","0.4","3.8","-2.5","0.5","24610"
"Tom Murphy","SEA","14","42","1","9","1","0","19.0%","31.0%",".152",".474",".303",".439",".455",".402",".427","177","-0.4","3.0","0.7","0.5","13499"
"Juan Yepez","STL","12","50","2","7","4","0","8.0%","18.0%",".200",".382",".333",".400",".533",".411",".370","170","0.1","4.1","-0.7","0.5","18400"
"Royce Lewis","MIN","11","40","2","5","5","0","2.5%","12.5%",".256",".313",".308",".325",".564",".386",".347","161","-0.1","2.5","1.2","0.5","20437"
"Daniel Vogelbach","PIT","31","122","6","14","13","0","11.5%","25.4%",".234",".296",".252",".336",".486",".357",".379","132","-0.2","4.3","-3.3","0.5","14130"
"Brandon Lowe","TBR","32","133","5","20","12","1","9.0%","25.6%",".203",".250",".212",".293",".415",".313",".333","115","1.0","3.1","-2.5","0.5","18882"
"Mike Moustakas","CIN","26","102","3","14","10","0","8.8%","22.5%",".157",".313",".258",".343",".416",".339",".271","114","0.2","1.9","-0.3","0.5","4892"
"Geraldo Perdomo","ARI","30","96","0","13","3","1","16.7%","26.0%",".051",".302",".205",".354",".256",".295",".295","88","0.8","-0.5","2.3","0.5","22799"
"Ben Gamel","PIT","36","127","3","15","15","2","10.2%","21.3%",".149",".333",".272",".346",".421",".342",".362","122","1.0","4.2","-3.6","0.5","12160"
"Michael A. Taylor","KCR","33","117","2","14","12","0","12.8%","21.4%",".099",".293",".238",".333",".337",".306",".350","102","-0.1","0.1","0.9","0.5","11489"
"Jesus Aguilar","MIA","34","144","5","11","17","0","9.7%","25.0%",".157",".337",".276",".340",".433",".341",".312","124","-0.4","3.6","-3.6","0.5","11342"
"Edward Olivares","KCR","15","38","0","5","3","2","5.3%","13.2%",".114",".433",".371",".421",".486",".402",".413","170","1.7","4.6","-1.0","0.5","19698"
"Rowdy Tellez","MIL","36","135","8","17","29","0","7.4%","23.7%",".268",".253",".236",".304",".504",".350",".434","125","-1.2","2.8","-2.5","0.5","15679"
"Bobby Witt Jr.","KCR","34","138","3","15","14","5","4.3%","26.1%",".162",".275",".215",".261",".377",".282",".260","85","0.6","-1.6","1.9","0.5","25764"
"Max Muncy","LAD","35","140","3","20","13","0","20.7%","21.4%",".136",".195",".164",".343",".300",".304",".344","98","0.8","0.5","-0.4","0.5","13301"
"Austin Riley","ATL","36","157","7","16","15","2","8.9%","26.1%",".216",".286",".237",".325",".453",".345",".388","121","0.1","3.9","-4.4","0.5","18360"
"Andrew Velazquez","LAA","31","103","1","12","7","6","7.8%","28.2%",".087",".270",".196",".265",".283",".250",".299","64","0.7","-3.3","4.6","0.5","14196"
"Harold Ramirez","TBR","27","83","0","10","8","1","6.0%","10.8%",".053",".343",".307",".361",".360",".326",".408","123","-0.1","2.0","-0.2","0.5","14387"
"Ryan Jeffers","MIN","26","92","3","9","9","0","9.8%","30.4%",".157",".250",".193",".272",".349",".280",".352","85","-0.1","-1.5","3.1","0.5","24618"
"Curt Casali","SFG","18","58","3","7","9","0","10.3%","25.9%",".212",".324",".269",".345",".481",".365",".370","139","-0.6","2.0","0.6","0.5","12510"
"Starling Marte","NYM","33","148","3","20","20","5","3.4%","17.6%",".137",".309",".266",".311",".403",".317",".295","111","1.1","3.0","-3.5","0.5","9241"
"Yuli Gurriel","HOU","32","129","3","14","12","2","3.9%","14.0%",".182",".267",".248",".287",".430",".314",".274","112","0.6","2.3","-2.1","0.5","19198"
"Bryan De La Cruz","MIA","25","48","1","6","5","0","12.5%","20.8%",".150",".400",".325",".417",".475",".394",".364","159","-1.0","2.4","0.4","0.5","19600"
"Joey Bart","SFG","22","80","4","11","7","1","15.0%","42.5%",".200",".296",".185",".338",".385",".332",".308","117","-0.2","1.4","0.3","0.5","21524"
"Andrew Knizner","STL","20","62","1","4","9","0","11.3%","24.2%",".113",".351",".264",".371",".377",".342",".352","125","-0.3","1.5","0.7","0.5","19514"
"Yadiel Hernandez","WSN","28","108","3","12","20","1","6.5%","22.2%",".170",".405",".330",".370",".500",".381",".345","145","-3.7","2.0","-1.3","0.5","19334"
"Ketel Marte","ARI","36","146","2","15","11","2","8.9%","21.2%",".162",".286",".231",".308",".392",".312",".298","99","1.0","0.8","-1.4","0.4","13613"
"Willi Castro","DET","21","60","1","6","4","1","6.7%","13.3%",".109",".362",".327",".367",".436",".354",".381","138","-0.6","1.8","0.3","0.4","17338"
"Nick Ahmed","ARI","17","54","3","7","7","0","3.7%","27.8%",".212",".265",".231",".259",".442",".307",".251","96","0.1","-0.2","2.3","0.4","12147"
"Ji-Man Choi","TBR","22","79","2","7","14","0","15.2%","32.9%",".164",".410",".269",".380",".433",".360",".382","148","-0.4","3.7","-2.4","0.4","5452"
"Odubel Herrera","PHI","19","57","2","7","7","0","3.5%","28.1%",".241",".324",".259",".281",".500",".334",".319","114","0.3","1.2","0.7","0.4","11476"
"Wilmer Flores","SFG","32","130","3","18","20","0","9.2%","13.8%",".148",".281",".261",".331",".409",".328",".329","115","0.5","2.7","-3.3","0.4","5827"
"Luis Gonzalez","SFG","21","73","2","11","15","3","8.2%","13.7%",".143",".370",".349",".397",".492",".386",".332","153","0.9","5.4","-4.1","0.4","20332"
"Kyle Schwarber","PHI","34","146","9","20","21","2","11.6%","32.2%",".246",".197",".183",".288",".429",".315",".341","102","-1.3","-1.0","-0.2","0.4","16478"
"Alejandro Kirk","TOR","33","112","1","7","7","0","10.7%","9.8%",".071",".284",".265",".339",".337",".303",".316","98","-1.1","-1.4","1.4","0.4","22581"
"Luis Guillorme","NYM","22","60","1","7","2","0","13.3%","16.7%",".118",".325",".275",".373",".392",".347",".338","130","-2.1","0.0","1.6","0.4","16451"
"Chas McCormick","HOU","30","109","4","13","11","1","7.3%","22.0%",".200",".274",".240",".294",".440",".321",".339","117","-1.0","1.0","-1.0","0.4","19599"
"Darin Ruf","SFG","35","140","1","18","12","2","14.3%","21.4%",".068",".322",".246",".364",".314",".317",".349","108","0.8","2.0","-3.1","0.4","9929"
"William Contreras","ATL","9","34","4","7","7","1","11.8%","26.5%",".400",".118",".200",".294",".600",".384",".427","146","0.2","2.0","0.3","0.4","20503"
"Thairo Estrada","SFG","35","140","2","23","20","5","4.3%","14.3%",".100",".279",".254",".286",".354",".283",".274","85","2.0","-0.5","-0.7","0.4","16426"
"Tyler Naquin","CIN","29","114","3","14","20","3","6.1%","28.1%",".200",".343",".257",".310",".457",".337",".338","112","0.7","2.4","-2.7","0.4","13359"
"Kevin Kiermaier","TBR","32","96","4","13","10","3","5.2%","28.1%",".178",".237",".200",".250",".378",".279",".318","90","1.8","0.8","-0.5","0.4","11038"
"Cesar Hernandez","WSN","38","170","0","20","7","2","5.9%","20.0%",".051",".350",".274",".325",".325",".295",".318","88","-0.7","-3.1","0.8","0.4","10556"
"Anthony Santander","BAL","37","149","6","15","16","0","12.8%","20.8%",".169",".250",".226",".349",".395",".336",".363","123","-2.0","1.7","-3.2","0.4","14551"
"Connor Joe","COL","33","151","4","21","11","2","11.9%","17.2%",".159",".314",".273",".364",".432",".356",".339","117","-1.2","1.7","-3.4","0.4","16572"
"David Peralta","ARI","34","122","5","8","13","0","12.3%","20.5%",".190",".208",".200",".295",".390",".299",".325","90","0.1","-1.2","0.5","0.3","2136"
"Brandon Belt","SFG","25","116","4","14","11","1","13.8%","25.9%",".165",".281",".227",".345",".392",".333",".373","118","-0.6","1.8","-2.5","0.3","10264"
"Carlos Correa","MIN","24","103","2","12","11","0","7.8%","25.2%",".117",".333",".255",".320",".372",".312",".350","108","-2.1","-1.2","1.0","0.3","14162"
"Jose Trevino","NYY","22","55","1","8","6","1","7.3%","10.9%",".078",".205",".196",".255",".275",".242",".300","59","0.0","-2.5","3.8","0.3","16725"
"Isiah Kiner-Falefa","NYY","33","120","0","18","8","4","7.5%","19.2%",".056",".333",".271",".325",".327",".293",".304","96","-0.1","-0.7","-0.1","0.3","16512"
"Trevor Story","BOS","31","136","2","13","16","4","9.6%","30.1%",".118",".295",".210",".294",".328",".282",".323","82","0.7","-1.9","0.5","0.3","12564"
